company_name,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,certification_cycle,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_community_it_civic_engagement_giving,ia_community_it_designed_for_charitable_giving,ia_community_it_designed_to_give,ia_community_it_diversity_inclusion,ia_community_it_job_creation,ia_community_it_local_economic_development,ia_community_it_local_involvement,ia_community_it_microdistribution_poverty_alleviation,ia_community_it_microfranchise_poverty_alleviation,ia_community_it_national_economic_development,ia_community_it_producer_cooperative,ia_community_it_suppliers_distributors,ia_community_it_suppliers_distributors_product,ia_community_it_supply_chain_poverty_alleviation,ia_customers_it_arts_media_culture,ia_customers_it_basic_services_for_the_underserved,ia_customers_it_business_model_and_engagement,ia_customers_it_capacity_building,ia_customers_it_current_fund,ia_customers_it_economic_empowerment_for_the_underserved,ia_customers_it_education,ia_customers_it_educational_models_and_engagement,ia_customers_it_educational_outcomes,ia_customers_it_health,ia_customers_it_health_wellness_improvement,ia_customers_it_impact_improvement,ia_customers_it_improved_impact,ia_customers_it_infrastructure_market_access,ia_customers_it_infrastructure_market_access_building,ia_customers_it_investment_criteria,ia_customers_it_leadership_outreach,ia_customers_it_marketing_recruiting_and_transparency,ia_customers_it_mission_aligned_exit,ia_customers_it_mission_lock,ia_customers_it_past_performance,ia_customers_it_portfolio_management,ia_customers_it_portfolio_reporting,ia_customers_it_positive_impact,ia_customers_it_privacy_and_consumer_protection,ia_customers_it_quality_and_continuous_improvement,ia_customers_it_serving_in_need_populations,ia_customers_it_student_experience,ia_customers_it_student_outcomes,ia_customers_it_student_outcomes_special_interest_students_,ia_customers_it_support_for_underserved_purpose_driven_enterprises,ia_customers_it_targeted_for_investment,ia_environment_it_certification,ia_environment_it_community,ia_environment_it_construction_practices,ia_environment_it_designed_to_conserve_agriculture_process,ia_environment_it_designed_to_conserve_manufacturing_process,ia_environment_it_designed_to_conserve_wholesale_process,ia_environment_it_energy_water_efficiency,ia_environment_it_environment_products_services_introduction,ia_environment_it_environmental_education_information,ia_environment_it_environmentally_innovative_wholesale_process,ia_environment_it_inputs,ia_environment_it_land_office_plant,ia_environment_it_land_wildlife_conservation,ia_environment_it_material_energy_use,ia_environment_it_materials_codes,ia_environment_it_outputs,ia_environment_it_renewable_or_cleaner_burning_energy,ia_environment_it_resource_conservation,ia_environment_it_safety,ia_environment_it_toxin_reduction_remediation,ia_environment_it_training_collaboration,ia_environment_it_transportation_distribution_suppliers,ia_governance_it_corporate_accountability,ia_governance_it_ethics,ia_governance_it_governance,ia_governance_it_mission_engagement,ia_governance_it_mission_locked,ia_governance_it_transparency,ia_workers_it_benefits,ia_workers_it_compensation_wages,ia_workers_it_human_rights_labor_policy,ia_workers_it_job_flexibility_corporate_culture,ia_workers_it_management_worker_communication,ia_workers_it_occupational_health_safety,ia_workers_it_training_education,ia_workers_it_worker_benefits,ia_workers_it_worker_owned,ia_workers_it_worker_ownership,ia_workers_it_workforce_development
Cove Continuity Advisors Inc,12/6/16,certified,"Cove Continuity Advisors is an industry leader in the field of planning for the enlightened continuity of wealth across generations. While others focused on product sales and illustrations Cove was busy developing new tools to identify, quantify, mitigate and manage continuity risk. Using proprietary analysis and reporting tools their team provides in depth recommendations that strikes a balance between the qualitative and quantitative aspect of stewarding wealth. If an insurance solution is required they find the best products available within the Canadian insurance market. Their analysis work is done in house and through an extensive network of highly qualified and reputable insurance, banking, investment, tax and legal professionals.
 
Cove is able to provide insurance products from all major Canadian insurance companies and through their longstanding collaborative relationships are able to navigate difficult underwriting challenges providing clients with the highest probability of achieving excellent results. Cove is supported by a highly qualified team of professionals and support staff serving clients in BC, Alberta and Ontario.",Insurance,Financial Services,"Life, Disability Insurance, Critical Illness, Continuity Planning",Canada,British Columbia,North Vancovuer,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/cove-continuity-advisors-inc,www.coveadvisors.com,2016,84.5,1,27.3,0,7.5,16.2,33.5,1,0,0.8,0,1.9,8.5,,,5.7,2,,8.5,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,3.2,,,,1.1,,,,,,,1.8,,,2.7,7.5,4.2,13.6,6.7,,,8,,1.6,,,1.3,
Hootsuite,4/20/15,certified,"Hootsuite is the world’s most widely used social media relationship platform. More than 11 million users, including 744 of the Fortune 1000 companies, trust Hootsuite to manage their social media programs across multiple social networks from one integrated dashboard.
 
Hootsuite’s vision is to revolutionize communication via social media. With over 11 million customers including 744 of the Fortune 1000 they have the potential to change the way people around the world interact on a large scale. Being part of the B Corp movement is another lever to accelerate this and inspire other companies to join the movement.",IT Software & Services/Web Design,Business Products & Services,Social Media Management,Canada,British Columbia,Vancouver,Service with Minor Environmental Footprint, 1000+,bcorporation.net/directory/hootsuite,www.hootsuite.com,2017,84.9,1,22.2,2.6,14.9,17.2,28,0.8,0,0,0,0,4.2,,,5,3.1,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,1.1,,,,,,,,,,,,4.5,9,,,,1.3,,,,,,,1.6,1.3,,1.3,7.5,5.2,10.3,3.7,,3.1,2.7,,2.3,,,5.5,
Hootsuite,4/20/15,certified,"Hootsuite is the world’s most widely used social media relationship platform. More than 11 million users, including 744 of the Fortune 1000 companies, trust Hootsuite to manage their social media programs across multiple social networks from one integrated dashboard.
 
Hootsuite’s vision is to revolutionize communication via social media. With over 11 million customers including 744 of the Fortune 1000 they have the potential to change the way people around the world interact on a large scale. Being part of the B Corp movement is another lever to accelerate this and inspire other companies to join the movement.",IT Software & Services/Web Design,Business Products & Services,Social Media Management,Canada,British Columbia,Vancouver,Service with Minor Environmental Footprint, 1000+,bcorporation.net/directory/hootsuite,www.hootsuite.com,2015,82.8,2,20.2,4.9,14.4,15.6,27.7,0.7,0,0,0,0,7,,,3.2,3.1,,3,,,,,,3,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.9,,,,1.5,,,,,,,,1.3,1.1,1.1,7.5,4.5,,3.2,,2.7,3.3,,2,10.1,,6.2,
Urbanspace Property Group,12/13/12,certified,Urbanspace Property Group preserves and restores historic and architecturally significant buildings with the goal of adaptively reusing buildings which no longer serve their original purpose.,Real Estate Development,Building,Real estate,Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 10-49,bcorporation.net/directory/urbanspace-property-group,www.urbanspace.org,2015,94.9,1,29.7,0,20.9,14.2,30.1,1.1,0,0.6,0,0,6.7,,,4.9,4.5,,9,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,1,6.4,,3,,0.6,,,,,2,,,2,,1.8,7.5,2.7,,7.2,,2.7,3.7,,2.1,13.1,,1.1,
Urbanspace Property Group,12/13/12,certified,Urbanspace Property Group preserves and restores historic and architecturally significant buildings with the goal of adaptively reusing buildings which no longer serve their original purpose.,Real Estate Development,Building,Real estate,Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 10-49,bcorporation.net/directory/urbanspace-property-group,www.urbanspace.org,2012,100.6,2,23.6,20.6,32.4,14.1,30.5,0.3,0,0.5,0.4,0.7,6.3,,,5,1.2,,6,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10.5,,,,,,,,,2.6,8,,6.9,,0.5,,,,,,,1.5,,0.3,3.1,6.2,2.4,,11.3,,3.7,2.3,,2.1,9.1,,1.1,
Genuine Health,12/17/12,certified,"As pioneers in the industry, Genuine Health has been committed to quality and consciousness in every step of creating the highest quality natural supplements that promote health, beauty and performance from the beginning. Starting with revolutionary formulations based on research proven ingredients, they design innovative products to deliver only the best in efficacy and safety.
 
 But it is about more than just the products! They've worked hard to build their vision into a brand synonymous not only with physical and mental well-being, but also with social and environmental awareness and action, by promoting earth-friendly choices and weaving social responsibility into the fabric of the brand and all that they do!
 
 Genuine Health has always believed strongly in building a company that operates with a 360® point of view: one that provides people with the highest quality nutritional supplements, but also a company that gives the environment one less footprint, and gives to others in need – through charitable organizations and direct community action. Their founder Stewart Brown’s vision to “leave the planet better than coming in” has woven a spirit of generosity and instigating positive change into the company’s essence which permeates throughout the company.",Home & Personal Care,Consumer Products & Services,Nutritional Supplements,Canada,Ontario,Toronto,Wholesale/Retail, 50-249,bcorporation.net/directory/genuine-health,www.genuinehealth.com,2017,80.8,1,14.6,15.8,13.7,11.2,25.5,0,0,0,0,1.7,5,,,2,1.3,,4,,,,,,2.2,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,1.8,3.6,,,,0.8,,,,1.3,,6,0.6,0.5,,0.4,7.5,2.1,11.6,5.9,,1.8,1.3,0,0.6,,,2.2,
Genuine Health,12/17/12,certified,"As pioneers in the industry, Genuine Health has been committed to quality and consciousness in every step of creating the highest quality natural supplements that promote health, beauty and performance from the beginning. Starting with revolutionary formulations based on research proven ingredients, they design innovative products to deliver only the best in efficacy and safety.
 
 But it is about more than just the products! They've worked hard to build their vision into a brand synonymous not only with physical and mental well-being, but also with social and environmental awareness and action, by promoting earth-friendly choices and weaving social responsibility into the fabric of the brand and all that they do!
 
 Genuine Health has always believed strongly in building a company that operates with a 360® point of view: one that provides people with the highest quality nutritional supplements, but also a company that gives the environment one less footprint, and gives to others in need – through charitable organizations and direct community action. Their founder Stewart Brown’s vision to “leave the planet better than coming in” has woven a spirit of generosity and instigating positive change into the company’s essence which permeates throughout the company.",Home & Personal Care,Consumer Products & Services,Nutritional Supplements,Canada,Ontario,Toronto,Wholesale/Retail, 50-249,bcorporation.net/directory/genuine-health,www.genuinehealth.com,2014,82.3,2,12.9,15.6,18.1,11.3,24.4,0,0,1,0,1.9,5,,,1.8,,,3.6,,,,,,2.3,,,,,,,,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4,,,,0.8,,,,0.4,,8.8,,0.5,,0.4,7.5,2.8,,0.5,,1.3,1.8,,0.4,9,,3.8,
Genuine Health,12/17/12,certified,"As pioneers in the industry, Genuine Health has been committed to quality and consciousness in every step of creating the highest quality natural supplements that promote health, beauty and performance from the beginning. Starting with revolutionary formulations based on research proven ingredients, they design innovative products to deliver only the best in efficacy and safety.
 
 But it is about more than just the products! They've worked hard to build their vision into a brand synonymous not only with physical and mental well-being, but also with social and environmental awareness and action, by promoting earth-friendly choices and weaving social responsibility into the fabric of the brand and all that they do!
 
 Genuine Health has always believed strongly in building a company that operates with a 360® point of view: one that provides people with the highest quality nutritional supplements, but also a company that gives the environment one less footprint, and gives to others in need – through charitable organizations and direct community action. Their founder Stewart Brown’s vision to “leave the planet better than coming in” has woven a spirit of generosity and instigating positive change into the company’s essence which permeates throughout the company.",Home & Personal Care,Consumer Products & Services,Nutritional Supplements,Canada,Ontario,Toronto,Wholesale/Retail, 50-249,bcorporation.net/directory/genuine-health,www.genuinehealth.com,2012,86.2,3,13.9,15,16.3,9.7,31.1,0.4,0,0.8,0.2,1.9,3.5,,,0.9,0.8,,4.5,,,,,3.5,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.6,,,,0.6,,,,,,7.5,0.7,,,0.6,5.5,2.4,,9,,1.9,2.1,,1.6,10.4,,3.9,
Proyecto Agua Segura,11/16/17,certified,Agua Segura Project is a social enterprise that brings concrete solutions to the water crisis.,Healthcare Providers,Health & Human Services,Safe Water Project,Argentina,Capital Federal,Buenos Aires,Service with Significant Environmental Footprint, 10-49,bcorporation.net/directory/proyecto-agua-segura,www.aguasegura.com.ar,2017,108.9,1,16.8,57.7,11.7,8.2,14.5,0,0,1.8,0,1.1,1.6,,,1.5,5.2,,3,,,,,,5.2,,,28.8,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,0,,,0,2.8,,,,6.2,,,,,,0.5,0.8,1,,2,2.5,1.8,2.6,8.9,0.2,,0.4,0,0.4,,,0.9,
TACK10 Strategy,10/25/17,certified,"TACK10 is a Certified ÒBÓ Corporation and a for profit professional marketing services firm. They are dedicated to providing a comprehensive set of integrated services that produce unparalleled and quantifiable results against corporate objectives. TACK10 works exclusively with purpose driven brands and properties who are committed to delivering a positive social, environmental and economic impact for the communities in which they operate.
 
 People | Purpose | Profit",Marketing & Communications Services,Business Products & Services,Fully integrated marketing services.,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/tack10,www.tack10.com,2017,92.5,1,23.6,15.4,6.7,13.7,33.1,2.4,0,0,0,2.6,5.2,,,4.2,2.3,,9.3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,5.9,,,,,,,,,,,,1.1,4.4,,,,1.1,,,,,,,4,,,2.2,2.5,4.9,10.1,9,,,6,,2.5,,,2.7,
"Imajine That, LLC",10/28/15,certified,"Imajine That is an interactive children’s museum, located at the Riverwalk in Lawrence, which features pop up programming in various public schools and community centers. These various business models all focus on family and child engagement.
 
The Imajine That Museum is a first of its kind family and child interactive play space where human potential has no boundaries. Their unique 12,000 square foot play space offers an environment where families can create and learn together in a safe and educational manner. Imajine That's ""Imagination Stations"" include a child sized Whole Foods grocery store, a HUGE dinosaur climbing structure, Between the Lions literacy area, Peep and the Big Wide World Science Station, Lowell General Hospital Doctors Office play area, and an arts and crafts area, just to name a few.
 
In addition to the museum, Imajine That also offers full day family engagement preschool programs called Imajine That University (ITU) located at the Riverwalk Lawrence and at the Rollins School in Lawrence. Imajine That also offers extended learning day programs in the Boston Public Schools and Lawrence Public Schools. Each of the schools Imajine That works with has a customized curriculum to meet the needs of the school and children.",Education & Training Services,Education & Training Services,Education,United States,Massachusetts,Lawrence,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/imajine-llc,www.imajinethat.com,2015,163.5,1,63.7,57.9,6.2,11.7,24,0,0,0,0,0,5.5,,,8,7.9,,8,,,,,,4.5,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,1,5.2,,,,,,,,,,,,1.3,0.5,3.7,2.3,3.6,,7.4,,3,3.5,,3.3,3.7,,2.7,29.6
Leesa Sleep,9/20/16,certified,Leesa Sleep has started with a beautifully designed and crafted mattress that meets the needs of almost everyone and an online store that makes buying a mattress simple and hassle free.,"Housewares, Home Furnishings, & Accessories",Consumer Products & Services,Online mattress retailer,United States,Virginia,Virginia Beach,Wholesale/Retail, 50-249,bcorporation.net/directory/leesa-sleep,www.leesa.com,2018,111.4,1,47.5,,23.5,15.7,24.6,0,,0,0,1.4,8.5,,26,2.1,2.9,,5.3,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,3.7,,,,2.3,,,,,,10.9,1.2,1,,2.3,7.5,3.6,5.6,7.7,,2,1.4,0,1,,,5.2,
Leesa Sleep,9/20/16,certified,Leesa Sleep has started with a beautifully designed and crafted mattress that meets the needs of almost everyone and an online store that makes buying a mattress simple and hassle free.,"Housewares, Home Furnishings, & Accessories",Consumer Products & Services,Online mattress retailer,United States,Virginia,Virginia Beach,Wholesale/Retail, 50-249,bcorporation.net/directory/leesa-sleep,www.leesa.com,2016,93.7,2,46,0,13,10,24.7,0.7,0,0,0,1.1,9.3,,21.8,2.2,4.7,,4.2,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.7,,,,1.5,,,,,,5,0.6,1.5,,2.5,2.5,2.7,5.5,9.5,,2.1,1.1,0,1.1,,0,4.4,
Ella's Kitchen UK,2/12/16,certified,"Ella’s Kitchen Brand mission is to improve children’s lives through developing healthy relationships with food. Set up in 2006 by Ella’s Dad, Paul Lindley, the company prioritises health and nutritional value, but never at the expense of taste or convenience. Ella’s Kitchen Brand strives to be good in every sense, offering healthy, handy and fun food that doesn’t cost the earth.",Food & Beverage,Consumer Products & Services,Organic food for babies + kids,United Kingdom,Oxfordshire,Rotherfield Greys,Wholesale/Retail, 50-249,bcorporation.net/directory/ellas-kitchen-uk,www.ellaskitchen.co.uk,2017,90.5,1,15.5,0,35.1,13.3,26.6,0,0,0.7,0,3.4,6.2,,,0.8,1.3,,0.2,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.5,4,,,,1.8,,,,14.4,,10.5,0.2,1.5,,1.3,7.5,2.6,11.4,5.2,,2.2,1.6,1.1,1.1,,,0.4,
Ella's Kitchen UK,2/12/16,certified,"Ella’s Kitchen Brand mission is to improve children’s lives through developing healthy relationships with food. Set up in 2006 by Ella’s Dad, Paul Lindley, the company prioritises health and nutritional value, but never at the expense of taste or convenience. Ella’s Kitchen Brand strives to be good in every sense, offering healthy, handy and fun food that doesn’t cost the earth.",Food & Beverage,Consumer Products & Services,Organic food for babies + kids,United Kingdom,Oxfordshire,Rotherfield Greys,Wholesale/Retail, 50-249,bcorporation.net/directory/ellas-kitchen-uk,www.ellaskitchen.co.uk,2015,81.2,2,11.9,0,36.5,8.3,24.6,0,0,0,0,0,4.5,,,0.4,0.6,,0.4,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5.2,,,,1.5,,,,15.5,,10.1,,1.5,0.2,0.8,2.5,3.2,,8.1,,2,2.1,1.1,1.3,9.1,,0.4,
1908 Brands,4/21/14,certified,"1908 Brands, Inc. was founded in 2010 by Steve Savage, the former founder and CEO of Eco-Products. As a rapidly growing manufacturer of natural products, 1908 Brands produces, manufactures, and manages six natural product brands. Boulder Clean; Schultz’s; Pasta Jay’s ; Bundle Organics; Thrive Tribe and Three Bears Oats. 1908 Brands is based in Boulder, Colorado. 1908 Brands is a 1% for the Planet Business Member and a member of the Sustainable Packaging Coalition.",Home & Personal Care,Consumer Products & Services,1908 Brands develops and manufactures natural food and home cleaning supplies.,United States,Colorado,Boulder,Wholesale/Retail, 10-49,bcorporation.net/directory/1908-brands,1908brands.com,2016,92.8,1,25.7,0,32.9,11.2,23,0,0,0,0,1.1,5,,,0.9,4.2,,5,0,,,,,10.3,,,,0,,,,,,0,,,0,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,0,0,,8,4,0,,,1.5,,2.7,,13.3,,3.2,1.3,1.5,,2.5,2.5,3.3,3.8,8.6,,1.5,1.3,0.8,1,,,4.7,
1908 Brands,4/21/14,certified,"1908 Brands, Inc. was founded in 2010 by Steve Savage, the former founder and CEO of Eco-Products. As a rapidly growing manufacturer of natural products, 1908 Brands produces, manufactures, and manages six natural product brands. Boulder Clean; Schultz’s; Pasta Jay’s ; Bundle Organics; Thrive Tribe and Three Bears Oats. 1908 Brands is based in Boulder, Colorado. 1908 Brands is a 1% for the Planet Business Member and a member of the Sustainable Packaging Coalition.",Home & Personal Care,Consumer Products & Services,1908 Brands develops and manufactures natural food and home cleaning supplies.,United States,Colorado,Boulder,Wholesale/Retail, 10-49,bcorporation.net/directory/1908-brands,1908brands.com,2014,111,2,31.5,1.1,42.2,9.3,27,0,0,1.1,0,1,6.2,,,1.1,1.6,,7.2,,,,,,11,4,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.3,,,,7.2,,,,14.4,,,,,2.7,1.1,2.5,2.7,,6,,,7,,,3.7,,2,
Tony's Chocolonely,12/23/13,certified,"Right now, slaves are working on cocoa farms in West Africa, many of them children. TonyÕs Chocolonely exists to change that. Their vision is 100% slave free chocolate. Not just their chocolate, but all chocolate worldwide.
 
 With incredibly tasty chocolate, Tony's Chocolonely leads by example and shows the world that chocolate can be made differently: in taste, packaging and the way cocoa farmers are treated. 100% slave free, fair and transparent.
 
 Through direct, long-term relationships with cocoa farmers and other supply chain partners, Tony's Chocolonely has created a completely transparent and traceable bean-to-bar process. They provide better prices for the farmers and train them to increase productivity on their farms. Furthermore, one percent of TonyÕs Chocolonely net revenue is donated to its Chocolonely Foundation, supporting projects to eradicate slavery in the cocoa chain.",Food & Beverage,Consumer Products & Services,Chocolate,Netherlands,Noord-Holland,Amsterdam,Wholesale/Retail, 50-249,bcorporation.net/directory/tonys-chocolonely,www.tonyschocolonely.com,2017,100.9,1,45.2,0,18.7,10.9,26.1,0,0,0,0,1.4,5.9,,,3.5,4.7,,4.7,,,,,,10.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,5.2,4,,,,1.3,,,,,,8,0.5,1,,2.8,2.5,3.7,9.6,5.5,,1.8,2.2,0.4,1.1,,,3.8,
Tony's Chocolonely,12/23/13,certified,"Right now, slaves are working on cocoa farms in West Africa, many of them children. TonyÕs Chocolonely exists to change that. Their vision is 100% slave free chocolate. Not just their chocolate, but all chocolate worldwide.
 
 With incredibly tasty chocolate, Tony's Chocolonely leads by example and shows the world that chocolate can be made differently: in taste, packaging and the way cocoa farmers are treated. 100% slave free, fair and transparent.
 
 Through direct, long-term relationships with cocoa farmers and other supply chain partners, Tony's Chocolonely has created a completely transparent and traceable bean-to-bar process. They provide better prices for the farmers and train them to increase productivity on their farms. Furthermore, one percent of TonyÕs Chocolonely net revenue is donated to its Chocolonely Foundation, supporting projects to eradicate slavery in the cocoa chain.",Food & Beverage,Consumer Products & Services,Chocolate,Netherlands,Noord-Holland,Amsterdam,Wholesale/Retail, 50-249,bcorporation.net/directory/tonys-chocolonely,www.tonyschocolonely.com,2014,113.1,2,47.3,0,25.7,11,29.1,0,0,2,0,1.4,5.2,,,3.7,3.6,,7.2,,,,,,11,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6,,,,1.3,,,,,,10.1,,1.5,0.6,2.8,2.5,3.5,,7.9,,2.3,2.1,1.1,1,9.3,,3.8,
Tony's Chocolonely,12/23/13,certified,"Right now, slaves are working on cocoa farms in West Africa, many of them children. TonyÕs Chocolonely exists to change that. Their vision is 100% slave free chocolate. Not just their chocolate, but all chocolate worldwide.
 
 With incredibly tasty chocolate, Tony's Chocolonely leads by example and shows the world that chocolate can be made differently: in taste, packaging and the way cocoa farmers are treated. 100% slave free, fair and transparent.
 
 Through direct, long-term relationships with cocoa farmers and other supply chain partners, Tony's Chocolonely has created a completely transparent and traceable bean-to-bar process. They provide better prices for the farmers and train them to increase productivity on their farms. Furthermore, one percent of TonyÕs Chocolonely net revenue is donated to its Chocolonely Foundation, supporting projects to eradicate slavery in the cocoa chain.",Food & Beverage,Consumer Products & Services,Chocolate,Netherlands,Noord-Holland,Amsterdam,Wholesale/Retail, 50-249,bcorporation.net/directory/tonys-chocolonely,www.tonyschocolonely.com,2013,95.9,3,35.8,0,18,14.1,27.9,0.3,0,1.2,0.7,1.7,2.9,,,2.6,1.3,,4.1,,,,,9.4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,4.9,4.9,,,0.6,,,,,,0.6,0.7,,,1.8,7,3.8,,9.6,,2,2.1,,1.2,9.3,,1.7,
BioTerra,7/13/15,certified,"BioTerra is known in Uruguay as a producer of high quality 100% natural products used for agricultural production, greenhouses and gardening.

BioTerra es conocido en Uruguay como elaborador de productos de alta calidad 100% naturales utilizados para producciones agrícolas, invernaderos y jardinería.",Agricultural Services,Agriculture,Compost and other organic products for agriculture and gardening,Uruguay,Canelones,Juanico,Manufacturing, 10-49,bcorporation.net/directory/bioterra,www.bioterra.com.uy,2015,86.6,1,15.2,0,50.2,6.4,14.7,0,0,1,0,0,2.7,,,,4.8,,5.5,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,6.9,,,,5.9,,27.6,,,,0.9,,1.1,,1,2.5,1.7,,7.4,0.1,,0.4,1.2,1.3,3.4,,0.5,
Gaia Herbs,10/17/18,certified,"Gaia Herbs is the leading herbal brand in North America, with more than 200 patented Liquid Phyto-Caps™, liquid extracts, functional powders and herbal teas to help support and maintain optimal health. From seed to shelf, Gaia is deeply committed to the purity, integrity and potency of each product. They use only organic methods to cultivate more than 6.5 million plants each year on their farms in the US and Costa Rica, and that same organic approach continues through manufacturing, using patented technology to achieve the highest efficacy of each herb, validated by Gaia’s scientists throughout the process. 

Gaia’s steadfast dedication to quality and integrity is unparalleled and meticulously proven by science, including their pioneering DNA validation models for each herb. As a company devoted to transparency, Gaia’s MeetYourHerbs® platform is the world’s first and only herb traceability program, which allows consumers to learn about and engage with their organic herbs. Gaia Cares furthers their mission to nurture healthy connections between plants and people by encouraging strong relationships and championing environmental sustainability within the communities that they work with around the world.",Other,Consumer Products & Services,"Herbal Liquid Phyto-Caps™, liquid extracts, functional powders and herbal teas.",United States,North Carolina,Brevard,Manufacturing, 250-999,bcorporation.net/directory/gaia-herbs,www.gaiaherbs.com,2018,80.9,1,16.4,0,31.5,9.5,23.2,0,0,0,0,0,6,,,2.8,1.9,,2,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6.7,5,,,,1.8,,,,16.6,,1.1,1.2,1.3,,1.7,2.5,2.7,7.6,8.1,,2.2,1.6,1.1,1.3,,,0.8,
PAPEL SEMENTE IND E COMERCIO LTDA,3/24/16,certified,"Papel Semente based in Rio de Janeiro provides employees with training on basic life skills including leadership. 90% of the company's employees come from underrepresented communities nearby company facilities. 

 Papel Semente based in Rio de Janeiro. sources their raw material (paper) from a partnership with local NGOs and a cooperative of garbage pickers and that collect leftover paper from other businesses. These partnerships support local organizations and help to keep cities like Sao Gonçalo and Niterói clean.",Other,Business Products & Services,Artisanal recycled paper with germinable seeds in its composition,Brazil,Rio de Janeiro,S?o Gon?alo,Manufacturing, 10-49,bcorporation.net/directory/papel-semente-ind-e-comercio-ltda,www.papelsemente.com.br,2014,122.7,1,48.2,0,47.1,8.2,19.3,0,0,0,0,1.4,3.2,,,3,1.3,,2.5,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,5.7,3.7,,,,3.5,,13.3,,,,2.8,,2,1.5,0.6,2.5,1.6,,7.9,0.4,,0.8,1.3,0.9,6,,0.5,30.6
Crave Fishbar,12/17/15,certified,"Crave Fishbar (founded in 2007) is a creative, NYC neighborhood restaurant serving 100% sustainable seafood in a vibrant, convivial environment. Chef Todd Mitgang offers an inventive menu of thoughtfully sourced ingredients that draws culinary influences from Asia to Europe with a uniquely New York spin. With two locations in Manhattan's Upper West and Midtown East neighborhoods, Crave's management team is committed to a kind and conscientious corporate culture that extends from the kitchen, to its employees, to the tens of thousands of patrons that walk through its doors every year. Crave is a NYC destination for #oystergram happy hour, craft cocktails, biodynamic wines, and neighborhood fine dining.",Restaurant,"Restaurant, Hospitality & Travel",Full Service Restaurant,United States,New York,New York,Service with Significant Environmental Footprint, 50-249,bcorporation.net/directory/crave-fishbar,www.cravefishbar.com,2015,83.5,1,30.3,0,18.7,15.5,19,1.1,0,1.2,0,0.4,6,,,2.3,4.5,,10.5,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,1.5,5.5,,,,0.6,,,,,,,,1.3,0.5,2.7,7.5,3.3,,8,,1.6,2.8,,1.3,0.5,,3.8,
